"","name","url","query","woeid"
"1","#WWEFastlane","http://twitter.com/search?q=%23WWEFastlane","%23WWEFastlane","2459115"
"2","#ArethaTribute","http://twitter.com/search?q=%23ArethaTribute","%23ArethaTribute","2459115"
"3","#RHOA","http://twitter.com/search?q=%23RHOA","%23RHOA","2459115"
"4","#Fastlane","http://twitter.com/search?q=%23Fastlane","%23Fastlane","2459115"
"5","Wrestlemania","http://twitter.com/search?q=Wrestlemania","Wrestlemania","2459115"
"6","Raiders","http://twitter.com/search?q=Raiders","Raiders","2459115"
"7","Dolan","http://twitter.com/search?q=Dolan","Dolan","2459115"
"8","Captain Marvel","http://twitter.com/search?q=%22Captain+Marvel%22","%22Captain+Marvel%22","2459115"
"9","Steelers","http://twitter.com/search?q=Steelers","Steelers","2459115"
"10","Carr","http://twitter.com/search?q=Carr","Carr","2459115"
"11","#TheWalkingDead","http://twitter.com/search?q=%23TheWalkingDead","%23TheWalkingDead","2459115"
"12","Tucker Carlson","http://twitter.com/search?q=%22Tucker+Carlson%22","%22Tucker+Carlson%22","2459115"
"13","Kofi","http://twitter.com/search?q=Kofi","Kofi","2459115"
"14","The Shield","http://twitter.com/search?q=%22The+Shield%22","%22The+Shield%22","2459115"
"15","Jose Canseco","http://twitter.com/search?q=%22Jose+Canseco%22","%22Jose+Canseco%22","2459115"
"16","Mustafa Ali","http://twitter.com/search?q=%22Mustafa+Ali%22","%22Mustafa+Ali%22","2459115"
"17","Beta","http://twitter.com/search?q=Beta","Beta","2459115"
"18","Devin Booker","http://twitter.com/search?q=%22Devin+Booker%22","%22Devin+Booker%22","2459115"
"19","Daryl","http://twitter.com/search?q=Daryl","Daryl","2459115"
"20","Fiona","http://twitter.com/search?q=Fiona","Fiona","2459115"
"21","Fantasia","http://twitter.com/search?q=Fantasia","Fantasia","2459115"
"22","Elias","http://twitter.com/search?q=Elias","Elias","2459115"
"23","Baron Corbin","http://twitter.com/search?q=%22Baron+Corbin%22","%22Baron+Corbin%22","2459115"
"24","Ambrose","http://twitter.com/search?q=Ambrose","Ambrose","2459115"
"25","Mayor Pete","http://twitter.com/search?q=%22Mayor+Pete%22","%22Mayor+Pete%22","2459115"
"26","Lacey Evans","http://twitter.com/search?q=%22Lacey+Evans%22","%22Lacey+Evans%22","2459115"
"27","Daniel Bryan","http://twitter.com/search?q=%22Daniel+Bryan%22","%22Daniel+Bryan%22","2459115"
"28","Pete Buttigieg","http://twitter.com/search?q=%22Pete+Buttigieg%22","%22Pete+Buttigieg%22","2459115"
"29","Seth Rollins","http://twitter.com/search?q=%22Seth+Rollins%22","%22Seth+Rollins%22","2459115"
"30","Yolanda Adams","http://twitter.com/search?q=%22Yolanda+Adams%22","%22Yolanda+Adams%22","2459115"
"31","Shane","http://twitter.com/search?q=Shane","Shane","2459115"
"32","Bubba the Love Sponge","http://twitter.com/search?q=%22Bubba+the+Love+Sponge%22","%22Bubba+the+Love+Sponge%22","2459115"
"33","Beth Phoenix","http://twitter.com/search?q=%22Beth+Phoenix%22","%22Beth+Phoenix%22","2459115"
"34","Patti","http://twitter.com/search?q=Patti","Patti","2459115"
"35","Warren Jeffs","http://twitter.com/search?q=%22Warren+Jeffs%22","%22Warren+Jeffs%22","2459115"
"36","Celine Dion","http://twitter.com/search?q=%22Celine+Dion%22","%22Celine+Dion%22","2459115"
"37","Kevin Owens","http://twitter.com/search?q=%22Kevin+Owens%22","%22Kevin+Owens%22","2459115"
"38","#CNNTownHall","http://twitter.com/search?q=%23CNNTownHall","%23CNNTownHall","2459115"
"39","#GRAMMYsAretha","http://twitter.com/search?q=%23GRAMMYsAretha","%23GRAMMYsAretha","2459115"
"40","#Shameless","http://twitter.com/search?q=%23Shameless","%23Shameless","2459115"
"41","#ArethaFranklin","http://twitter.com/search?q=%23ArethaFranklin","%23ArethaFranklin","2459115"
"42","#WWEChampionship","http://twitter.com/search?q=%23WWEChampionship","%23WWEChampionship","2459115"
"43","#BuddyVsDuff","http://twitter.com/search?q=%23BuddyVsDuff","%23BuddyVsDuff","2459115"
"44","#BTSISCOMING","http://twitter.com/search?q=%23BTSISCOMING","%23BTSISCOMING","2459115"
"45","#Married2MedLA","http://twitter.com/search?q=%23Married2MedLA","%23Married2MedLA","2459115"
"46","#TheCaseAgainstAdnanSyed","http://twitter.com/search?q=%23TheCaseAgainstAdnanSyed","%23TheCaseAgainstAdnanSyed","2459115"
"47","#SeekingSisterWife","http://twitter.com/search?q=%23SeekingSisterWife","%23SeekingSisterWife","2459115"
"48","#CrosswordMysteries","http://twitter.com/search?q=%23CrosswordMysteries","%23CrosswordMysteries","2459115"
"49","#PeteForAmerica","http://twitter.com/search?q=%23PeteForAmerica","%23PeteForAmerica","2459115"
"50","#AmericanGods","http://twitter.com/search?q=%23AmericanGods","%23AmericanGods","2459115"
